code,educationTypesAndLevels
2654.1.7,"Voor het beroep van 'inspiciënt' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch
- Theoretisch

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs
- Hoger beroepsonderwijs"
8121.4,"Voor het beroep van 'operator draadtrekmachine' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Lager beroepsonderwijs
- Middelbaar beroepsonderwijs"
7543.10.3,"Voor het beroep van 'inspecteur precisie-instrumenten' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs
- Hoger beroepsonderwijs"
3155.1,"Voor het beroep 'monteur veiligheidssystemen luchtvaart' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch
- Theoretisch

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs
- Hoger beroepsonderwijs"
2431.9,"Voor het beroep van 'revenue manager' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Theoretisch
- Praktisch

**Opleidingsniveau:**
- Hoger beroepsonderwijs
- Wetenschappelijk onderwijs"
3212.2,"Voor het beroep van 'biomedisch laboratoriummedewerker' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch
- Wetenschappelijk

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs (MBO)
- Hoger beroepsonderwijs (HBO)"
3116.1.1,"Voor het beroep van 'asfaltlaborant' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch
- Theoretisch

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs
- Hoger beroepsonderwijs"
5312.2,"Voor het beroep van 'onderwijsassistent basisonderwijs' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Lager beroepsonderwijs
- Middelbaar beroepsonderwijs"
2264.2,"Voor het beroep van 'fysiotherapeut' zijn de volgende opleidingstypes en -niveaus nodig:

**Opleidingstype:**
- Praktisch
- Theoretisch
- Wetenschappelijk

**Opleidingsniveau:**
- Hoger beroepsonderwijs"
2310.1.30,"Voor het beroep 'docent drama hoger onderwijs' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch
- Theoretisch

**Opleidingsniveau:**
- Hoger beroepsonderwijs
- Wetenschappelijk onderwijs"
8160.39,"Voor het beroep van 'hydrogeneermachinebediener' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Lager beroepsonderwijs
- Middelbaar beroepsonderwijs"
8160.46,"Voor het beroep van 'operator pastamaker' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Geen
- Basisonderwijs
- Lager beroepsonderwijs"
1420.4.42,"Voor het beroep 'manager tabakswinkel' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Lager beroepsonderwijs
- Middelbaar beroepsonderwijs"
5249.2.1,"Voor het beroep van 'verhuurmedewerker van andere machines, materialen en roerende goederen' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Geen
- Basisonderwijs
- Lager beroepsonderwijs"
2165.4.2,"Voor het beroep van 'mijnmeter' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs
- Hoger beroepsonderwijs"
2263.2,"Voor het beroep van 'specialist voedselveiligheid' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch
- Theoretisch
- Wetenschappelijk

**Opleidingsniveau:**
- Middelbaar beroepsonderwijs (MBO)
- Hoger beroepsonderwijs (HBO)
- Wetenschappelijk onderwijs"
7233.8,"Voor het beroep van 'technicus landbouwmachines' zijn de volgende opleidingstypes en -niveaus relevant:

**Opleidingstype:**
- Praktisch

**Opleidingsniveau:**
- Lager beroepsonderwijs
- Middelbaar beroepsonderwijs"
